theme,title,url,why
"Operational, conduct & non-financial risk",Non-Financial Risk Management: Emerging stronger after Covid-19,https://www.risk.net/non-financial-risk-management-emerging-stronger-after-covid-19,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Operational Resilience in Financial Institutions,https://www.risk.net/operational-resilience-in-financial-institutions,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Operational Resilience: Beyond the Checklists,https://www.risk.net/operational-resilience-beyond-the-checklists,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk","Operational Risk Perspectives: Cyber, Big Data, and Other Emerging Risks",https://www.risk.net/operational-risk-perspectives,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Reflections on OpRisk Management,https://www.risk.net/reflections-on-oprisk-management,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk","Reputational Risk Management in Financial Institutions, eds Thomas Kaiser + Petra Merl",https://www.risk.net/reputational-risk-management-in-financial-institutions,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Risk and Governance (2nd edition),https://www.risk.net/risk-and-governance,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Risk Culture and Effective Risk Governance,https://www.risk.net/risk-culture-and-effective-risk-governance,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Strategic Risk Management,https://www.risk.net/strategic-risk-management,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",The Operational Risk Manager's Guide (2nd edition),https://www.risk.net/the-operational-risk-managers-guide,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",The Risk Within,https://www.risk.net/the-risk-within,Non-financial risk — outside the credit beat.
"Technology, AI & data","Artificial Intelligence in Finance, Volume 1: Fundamentals and Applications",https://www.risk.net/artificial-intelligence-in-finance-volume-1-fundamentals-and-applications,Technology and quantitative methods.
"Technology, AI & data","Artificial Intelligence in Finance, Volume 2: Reinforcement Learning Theory and Practice",https://www.risk.net/artificial-intelligence-in-finance-volume-2-reinforcement-learning-theory-and-practice,Technology and quantitative methods.
"Technology, AI & data",Blockchain in Financial Markets and Beyond,https://www.risk.net/blockchain-in-financial-markets-and-beyond,Technology and quantitative methods.
"Technology, AI & data",Data Science in Economics and Finance for Decision Makers,https://www.risk.net/data-science-in-economics-and-finance-for-decision-makers,Technology and quantitative methods.
"Technology, AI & data",FinTech: Growth and Deregulation,https://www.risk.net/fintech-growth-and-deregulation,Technology and quantitative methods.
"Technology, AI & data",High-Frequency Trading,https://www.risk.net/high-frequency-trading,Technology and quantitative methods.
"Technology, AI & data","Machine Learning: Origins, Developments and Implications",https://www.risk.net/machine-learning-origins-developments-and-implications,Technology and quantitative methods.
"Technology, AI & data",Probabilistic Graphical Models,https://www.risk.net/probabilistic-graphical-models,Technology and quantitative methods.
"Technology, AI & data","Regtech, Suptech and Beyond: Innovation in Financial Services",https://www.risk.net/regtech-suptech-and-beyond-innovation-in-financial-services,Technology and quantitative methods.
"Technology, AI & data",Strategic Technology Risk,https://www.risk.net/strategic-technology-risk,Technology and quantitative methods.
